(1000, 0)
(2000, 0)
(2000, 1000)
(3000, 1000)
(4000, 1000)
(4000, 1000)
(4000, 2000)
(5000, 2000)
(5000, 2000)
(5000, 2000)
(5000, 2000)
(6000, 2000)
(7000, 2000)
(7000, 2000)
(8000, 2000)
(9000, 2000)
(10000, 2000)
(11000, 2000)
(11000, 2000)
(12000, 2000)
(13000, 2000)
(13000, 3000)
(13000, 4000)
(14000, 4000)
(14000, 4000)
(15000, 4000)
(16000, 4000)
(16000, 5000)
(17000, 5000)
(17000, 6000)
(18000, 6000)
(18000, 6000)
(19000, 6000)
(19000, 6000)
(19000, 6000)
(19000, 7000)
(20000, 7000)
(21000, 7000)
(22000, 7000)
(22000, 7000)
(23000, 7000)
(23000, 7000)
(23000, 7000)
(24000, 7000)
(24000, 7000)
(24000, 7000)
(25000, 7000)
(25000, 8000)
(26000, 8000)
(26000, 9000)
(27000, 9000)
(27000, 10000)
(28000, 10000)
(28000, 10000)
(28000, 10000)
(29000, 10000)
(30000, 10000)
(30000, 11000)
(31000, 11000)
(31000, 12000)
(31000, 12000)
(32000, 12000)
(32000, 12000)
(33000, 12000)
(33000, 12000)
(33000, 12000)
(34000, 12000)
(34000, 13000)
(35000, 13000)
(36000, 13000)
(36000, 13000)
(37000, 13000)
(38000, 13000)
(38000, 13000)
(38000, 14000)
(39000, 14000)
(39000, 15000)
(40000, 15000)
(41000, 15000)
(42000, 15000)
(42000, 15000)
(43000, 15000)
(44000, 15000)
(45000, 15000)
(45000, 15000)
(46000, 15000)
(47000, 15000)
(47000, 16000)
(48000, 16000)
(49000, 16000)
(49000, 16000)
(49000, 17000)
(50000, 17000)
(50000, 18000)
(50000, 18000)
(51000, 18000)
(52000, 18000)
(52000, 19000)
(53000, 19000)
(53000, 19000)
